央视,#genre#
CCTV1综合,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265183188
CCTV2财经,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667329
CCTV3综艺,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667206
CCTV4中文国际,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667639
CCTV4欧洲,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667313
CCTV4美洲,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667335
CCTV5体育,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667565
CCTV5+体育赛事,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265106763
CCTV6电影,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667482
CCTV7国防军事,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667268
