台湾,#genre#
TVBS新闻,http://fm1077.serv00.net/hxds/play.php?id=tvbsxw
TVBS欢乐,http://fm1077.serv00.net/hxds/play.php?id=tvbshl
TVBS,http://fm1077.serv00.net/hxds/play.php?id=tvbs
中视新闻,http://fm1077.serv00.net/hxds/play.php?id=zsxw
中视娱乐,http://fm1077.serv00.net/hxds/play.php?id=zsyl
中视都会,http://fm1077.serv00.net/hxds/play.php?id=zsdh
中视亚洲,http://fm1077.serv00.net/hxds/play.php?id=zsyz
台视,http://fm1077.serv00.net/hxds/play.php?id=ts
台视新闻频道,http://fm1077.serv00.net/hxds/play.php?id=tsxw
台视综合频道,http://fm1077.serv00.net/hxds/play.php?id=tszh
华视,http://fm1077.serv00.net/hxds/play.php?id=hs
华视新闻频道,http://fm1077.serv00.net/hxds/play.php?id=hsxw
民视,http://fm1077.serv00.net/hxds/play.php?id=ms
民视新闻,http://fm1077.serv00.net/hxds/play.php?id=msxw
民视台湾,http://fm1077.serv00.net/hxds/play.php?id=mstw
公视,http://fm1077.serv00.net/hxds/play.php?id=cts
华视公共电视,http://fm1077.serv00.net/hxds/play.php?id=hsgg
八大第一,http://fm1077.serv00.net/hxds/play.php?id=gtv1
八大都会,http://fm1077.serv00.net/hxds/play.php?id=bddh
八大戏剧,http://fm1077.serv00.net/hxds/play.php?id=bdxj
八大娱乐,http://fm1077.serv00.net/hxds/play.php?id=bdyl
HBO 高清频道,http://fm1077.serv00.net/hxds/play.php?id=hbo-hd
HBO 强档巨献频道,http://fm1077.serv00.net/hxds/play.php?id=hbo-hits
好莱坞电影频道,http://fm1077.serv00.net/hxds/play.php?id=hollywoodmovies
三立台湾,http://fm1077.serv00.net/hxds/play.php?id=sltw
三立戏剧,http://fm1077.serv00.net/hxds/play.php?id=slxj
三立都会,http://fm1077.serv00.net/hxds/play.php?id=sldh
三立都会频道,http://fm1077.serv00.net/hxds/play.php?id=sldhpd
东森新闻,http://fm1077.serv00.net/hxds/play.php?id=dsxw
天映频道,http://fm1077.serv00.net/hxds/play.php?id=typd
东森都会,http://fm1077.serv00.net/hxds/play.php?id=dsdh
东森戏剧,http://fm1077.serv00.net/hxds/play.php?id=dsxj
东森综合,http://fm1077.serv00.net/hxds/play.php?id=dszh
东森财经新闻,http://fm1077.serv00.net/hxds/play.php?id=dscjxw
环宇财经,http://fm1077.serv00.net/hxds/play.php?id=hycj
环宇新闻,http://fm1077.serv00.net/hxds/play.php?id=hyxw
华视公共电视二,http://fm1077.serv00.net/hxds/play.php?id=hsgg2
慈济大爱一,http://fm1077.serv00.net/hxds/play.php?id=da1
民视新闻,http://fm1077.serv00.net/hxds/play.php?id=msxw
龙华戏剧,http://fm1077.serv00.net/hxds/play.php?id=lhxj
龙华经典频道,http://fm1077.serv00.net/hxds/play.php?id=lhjd
龙华偶像,http://fm1077.serv00.net/hxds/play.php?id=lhex
AXN,http://fm1077.serv00.net/hxds/play.php?id=axntaiwan
天映国际频道,http://fm1077.serv00.net/hxds/play.php?id=tygj
年代新闻,http://fm1077.serv00.net/hxds/play.php?id=ndxw
纬来日本,http://fm1077.serv00.net/hxds/play.php?id=wlrb
纬来电影,http://fm1077.serv00.net/hxds/play.php?id=wldy
纬来体育,http://fm1077.serv00.net/hxds/play.php?id=wlty
纬来综合,http://fm1077.serv00.net/hxds/play.php?id=wlzh
纬来娱乐,http://fm1077.serv00.net/hxds/play.php?id=wlyl
纬来精采,http://fm1077.serv00.net/hxds/play.php?id=wljc
好消息二,http://fm1077.serv00.net/hxds/play.php?id=goodtv2
慈济大爱二,http://fm1077.serv00.net/hxds/play.php?id=da2
亚洲美食频道,http://fm1077.serv00.net/hxds/play.php?id=yzms
美食星球频道,http://fm1077.serv00.net/hxds/play.php?id=msxq
旅游生活频道,http://fm1077.serv00.net/hxds/play.php?id=lysh
东森电影,http://fm1077.serv00.net/hxds/play.php?id=dsdy
阿里郎,http://fm1077.serv00.net/hxds/play.php?id=arirang
博斯运动一,http://fm1077.serv00.net/hxds/play.php?id=bsyd1
博斯运动二,http://fm1077.serv00.net/hxds/play.php?id=bsyd2
博斯高尔夫二,http://fm1077.serv00.net/hxds/play.php?id=bsgolf
博斯网球,http://fm1077.serv00.net/hxds/play.php?id=bosstennis
东森洋片,http://fm1077.serv00.net/hxds/play.php?id=dsyp
龙华洋片,http://fm1077.serv00.net/hxds/play.php?id=lhyp
博斯无限,http://fm1077.serv00.net/hxds/play.php?id=bswx
MTV直播频道,http://fm1077.serv00.net/hxds/play.php?id=mtvzb
龙翔时代,http://fm1077.serv00.net/hxds/play.php?id=lxsd
睛彩旅游,http://fm1077.serv00.net/hxds/play.php?id=jcyl
天映卡通频道,http://fm1077.serv00.net/hxds/play.php?id=tykt
睛彩戏剧,http://fm1077.serv00.net/hxds/play.php?id=jcxj
卫视电影,http://fm1077.serv00.net/hxds/play.php?id=wsdy
YoYo TV,http://fm1077.serv00.net/hxds/play.php?id=yoyotv
卫视电影,http://fm1077.serv00.net/hxds/play.php?id=wsdy
美亚电影,http://fm1077.serv00.net/hxds/play.php?id=mydy
爱尔达戏剧,http://fm1077.serv00.net/hxds/play.php?id=eltaxj
爱尔达综合,http://fm1077.serv00.net/hxds/play.php?id=eltazh
卫视电影,http://fm1077.serv00.net/hxds/play.php?id=wsdy
爱尔达戏剧,http://fm1077.serv00.net/hxds/play.php?id=eltaxj
亚旅卫视,http://fm1077.serv00.net/hxds/play.php?id=ylws
中国香港,#genre#
凤凰中文,http://fm1077.serv00.net/hxds/play.php?id=fhzw
凤凰资讯,http://fm1077.serv00.net/hxds/play.php?id=fhzx
翡翠台,http://fm1077.serv00.net/hxds/play.php?id=jade
无线新闻台,http://fm1077.serv00.net/hxds/play.php?id=inews
TVB J2,http://fm1077.serv00.net/hxds/play.php?id=j2
明珠台,http://fm1077.serv00.net/hxds/play.php?id=pearl
凤凰香港,http://fm1077.serv00.net/hxds/play.php?id=fhxg
TVB J5,http://fm1077.serv00.net/hxds/play.php?id=j5
HK31,http://fm1077.serv00.net/hxds/play.php?id=rhk31
ViuTV,http://fm1077.serv00.net/hxds/play.php?id=viutv
HK32,http://fm1077.serv00.net/hxds/play.php?id=rhk32
娱乐新闻,http://fm1077.serv00.net/hxds/play.php?id=tvb-entertainment
千禧经典,http://fm1077.serv00.net/hxds/play.php?id=tvb-classic
TVB星河,http://fm1077.serv00.net/hxds/play.php?id=tvb-xing-he
Now新闻,http://fm1077.serv00.net/hxds/play.php?id=nowxw
Now直播,http://fm1077.serv00.net/hxds/play.php?id=nowzb
Now财经,http://fm1077.serv00.net/hxds/play.php?id=nowcj
Now Sports Prime,http://fm1077.serv00.net/hxds/play.php?id=now-prime
Now Sports Premier League 1,http://fm1077.serv00.net/hxds/play.php?id=now-premier-league-1
娱乐,#genre#
BBC One,http://fm1077.serv00.net/hxds/play.php?id=bbc-one
BBC Two,http://fm1077.serv00.net/hxds/play.php?id=bbc-two
