👉JDiptv👉,#genre#
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
美亚电影,http://co-sg3.jdiptv.cc/live/xgmydygy.m3u8
中国电影,http://co-sg3.jdiptv.cc/live/zgdy.m3u8
Thrill,http://co-sg3.jdiptv.cc/live/thrill.m3u8
香港卫视,http://co-sg3.jdiptv.cc/live/zgdy.m3u8
凤凰中文,http://61.163.58.154:1321/ms/IPTV.php?id=123
凤凰资讯,http://61.163.58.154:1321/ms/IPTV.php?id=124
凤凰香港,http://61.163.58.154:1321/ms/IPTV.php?id=125
翡翠,http://61.163.58.154:1321/ms/IPTV.php?id=126
无线赛马,http://61.163.58.154:1321/ms/IPTV.php?id=127
无线赛马,http://61.163.58.154:1321/ms/IPTV.php?id=128
无线赛马,http://61.163.58.154:1321/ms/IPTV.php?id=129
NOW新闻,http://61.163.58.154:1321/ms/IPTV.php?id=130
NOW,http://61.163.58.154:1321/ms/IPTV.php?id=131
NOW财经,http://61.163.58.154:1321/ms/IPTV.php?id=132
NOW星影,http://61.163.58.154:1321/ms/IPTV.php?id=133
NOW星影,http://61.163.58.154:1321/ms/IPTV.php?id=134
NOW爆谷,http://61.163.58.154:1321/ms/IPTV.php?id=135
NOW爆谷,http://61.163.58.154:1321/ms/IPTV.php?id=136
NOW华剧,http://61.163.58.154:1321/ms/IPTV.php?id=137
NOW剧集,http://61.163.58.154:1321/ms/IPTV.php?id=138
NOW紫金国际,http://61.163.58.154:1321/ms/IPTV.php?id=139
NOWSportsPrime,http://61.163.58.154:1321/ms/IPTV.php?id=140
NOWSports,http://61.163.58.154:1321/ms/IPTV.php?id=141
NOWSportsPlus,http://61.163.58.154:1321/ms/IPTV.php?id=142
NOWNBA,http://61.163.58.154:1321/ms/IPTV.php?id=143
HOY76,http://61.163.58.154:1321/ms/IPTV.php?id=144
HOY77,http://61.163.58.154:1321/ms/IPTV.php?id=145
HOY78,http://61.163.58.154:1321/ms/IPTV.php?id=146
VIVTV,http://61.163.58.154:1321/ms/IPTV.php?id=147
VIVTV6,http://61.163.58.154:1321/ms/IPTV.php?id=148
RHK31,http://61.163.58.154:1321/ms/IPTV.php?id=149
RHK32,http://61.163.58.154:1321/ms/IPTV.php?id=150
新时代1,http://61.163.58.154:1321/ms/IPTV.php?id=151
新时代2,http://61.163.58.154:1321/ms/IPTV.php?id=152
城市电视,http://61.163.58.154:1321/ms/IPTV.php?id=153
中旺电视,http://61.163.58.154:1321/ms/IPTV.php?id=154
FASHION,http://61.163.58.154:1321/ms/IPTV.php?id=155
TVN,http://61.163.58.154:1321/ms/IPTV.php?id=156
KIX,http://61.163.58.154:1321/ms/IPTV.php?id=157
ROCKACTION,http://61.163.58.154:1321/ms/IPTV.php?id=158
ROCK,http://61.163.58.154:1321/ms/IPTV.php?id=159
88,http://61.163.58.154:1321/ms/IPTV.php?id=160
中国电影,http://61.163.58.154:1321/ms/IPTV.php?id=200
龙祥时代,http://61.163.58.154:1321/ms/IPTV.php?id=201
美亚电影,http://61.163.58.154:1321/ms/IPTV.php?id=202
