👇SmartTV-亂給被封沒救👇,#genre#
Rob Yang,https://a.b/c.m3u8
每台裝置及時產出影片,https://a.b/d.m3u8
亂給被封沒救,https://a.b/e.m3u8



js=https://files.catbox.moe/4dqdzg.js
台灣 Taiwan,#genre#
AXN, http://php.jdshipin.com:8880/smt.php?id=axn_twn
CINEMAX, http://php.jdshipin.com:8880/smt.php?id=cinemax_twn
EYE戲劇, http://php.jdshipin.com:8880/smt.php?id=eyetvxiju_twn
EYE旅遊, http://php.jdshipin.com:8880/smt.php?id=eyetvtravel_twn
HBO, http://php.jdshipin.com:8880/smt.php?id=hbohd_twn
HBO Family, http://php.jdshipin.com:8880/smt.php?id=fyi_twn
好萊塢電影台, http://php.jdshipin.com:8880/smt.php?id=hollywoodmovies_twn
MTV Live, http://php.jdshipin.com:8880/smt.php?id=mtvhd_twn
TLC旅遊生活, http://php.jdshipin.com:8880/smt.php?id=tlc_twn
東森新聞, http://php.jdshipin.com:8880/smt.php?id=ettvnews
TVBS HD, http://php.jdshipin.com:8880/smt.php?id=tvbs
TVBS新聞, http://php.jdshipin.com:8880/smt.php?id=tvbs_n
TVBS歡樂台, http://php.jdshipin.com:8880/smt.php?id=tvbshuanle_twn
三立台灣台, http://php.jdshipin.com:8880/smt.php?id=sanlitaiwan
三立戲劇台, http://php.jdshipin.com:8880/smt.php?id=sanlixiju_twn
三立綜合台, http://php.jdshipin.com:8880/smt.php?id=sanlizhonghe
中天亞洲台, http://php.jdshipin.com:8880/smt.php?id=ctiasia_twn
中天娱樂, http://php.jdshipin.com:8880/smt.php?id=ctient
中天新聞HD, http://php.jdshipin.com:8880/smt.php?id=ctinews
中天綜合, http://php.jdshipin.com:8880/smt.php?id=ctizhonghe
亞洲旅遊台, http://php.jdshipin.com:8880/smt.php?id=asiatravel_twn
亞洲美食, http://php.jdshipin.com:8880/smt.php?id=afc_twn
八大戲劇, http://php.jdshipin.com:8880/smt.php?id=badadrama
八大第一, http://php.jdshipin.com:8880/smt.php?id=badafirst
八大綜合, http://php.jdshipin.com:8880/smt.php?id=badazhonghe
公視, http://php.jdshipin.com:8880/smt.php?id=ctv_taiwan
民視, http://php.jdshipin.com:8880/smt.php?id=ftvhd_taiwan
民視第一台, http://php.jdshipin.com:8880/smt.php?id=lunghuajingdian_twn
民視台灣台, http://php.jdshipin.com:8880/smt.php?id=ftvtaiwan_twn
民視新聞, http://php.jdshipin.com:8880/smt.php?id=ftvnew_taiwan
台視, http://php.jdshipin.com:8880/smt.php?id=ttv_taiwan
台視新聞, http://php.jdshipin.com:8880/smt.php?id=ttvnews_twn
中視, http://php.jdshipin.com:8880/smt.php?id=zhongshihd_twn
中視新聞, http://php.jdshipin.com:8880/smt.php?id=zhongshinews_twn
中視經典, http://php.jdshipin.com:8880/smt.php?id=zhongshi_twn
華視, http://php.jdshipin.com:8880/smt.php?id=ctshd_twn
華藝綜合, http://php.jdshipin.com:8880/smt.php?id=weishichinese_twn
大愛一台, http://php.jdshipin.com:8880/smt.php?id=daai_twn
寰宇新聞, http://php.jdshipin.com:8880/smt.php?id=huanyuxinwen_twn
寰宇財經台, http://php.jdshipin.com:8880/smt.php?id=huanyutaiwan_twn
年代新聞, http://php.jdshipin.com:8880/smt.php?id=niandainews_twn
愛爾達影劇, http://php.jdshipin.com:8880/smt.php?id=eltayingju_twn
愛爾達體育 1, http://php.jdshipin.com:8880/smt.php?id=eltasport_twn
愛爾達體育 2, http://php.jdshipin.com:8880/smt.php?id=eltasport2_twn
愛爾達體育 3, http://php.jdshipin.com:8880/smt.php?id=eltasport3_twn
ELEVEN 1, http://php.jdshipin.com:8880/smt.php?id=golfchannel_twn
博斯網球, http://php.jdshipin.com:8880/smt.php?id=bositennis_twn
博斯運動1, http://php.jdshipin.com:8880/smt.php?id=bosisport1_twn
博斯運動2, http://php.jdshipin.com:8880/smt.php?id=bosisport2_twn
博斯高球1, http://php.jdshipin.com:8880/smt.php?id=bosigolf1_twn
博斯高球2, http://php.jdshipin.com:8880/smt.php?id=bosigolf2_twn
探索亞洲, http://php.jdshipin.com:8880/smt.php?id=discoverytwn_twn
探索動力, http://php.jdshipin.com:8880/smt.php?id=discoveryturbo_twn
國家地理, http://php.jdshipin.com:8880/smt.php?id=natgeohd_twn
野生動物, http://php.jdshipin.com:8880/smt.php?id=natgeowild_twn
動物星球, http://php.jdshipin.com:8880/smt.php?id=animalplanet_twn
時尚, http://php.jdshipin.com:8880/smt.php?id=fashiontv_twn
Discovery Asia, http://php.jdshipin.com:8880/smt.php?id=discoverytwn_twn
Discovery HD, http://php.jdshipin.com:8880/smt.php?id=discoveryhd_twn
東森戲劇, http://php.jdshipin.com:8880/smt.php?id=ettvdrama
東森洋片, http://php.jdshipin.com:8880/smt.php?id=ettvwestern
東森綜合, http://php.jdshipin.com:8880/smt.php?id=ettvzhonghe
東森財經新聞, http://php.jdshipin.com:8880/smt.php?id=ettvcaijing_twn
東森電影, http://php.jdshipin.com:8880/smt.php?id=ettvmovie
緯來日本台, http://php.jdshipin.com:8880/smt.php?id=videolandjapan
緯來體育台, http://php.jdshipin.com:8880/smt.php?id=videolandsport
