👇Rob SmartTV-鏈接每次自動產生👇,#genre#
Rob Yang,abc://a.b/c.m3u8
每台裝置及時自動產出影片網址,abc://a.b/d.m3u8
亂給被封沒救,abc://a.b/e.m3u8



js=https://files.catbox.moe/4dqdzg.js
台灣 Taiwan,#genre#
AXN, https://smart.pendy.dpdns.org/Smart.php?id=axn_twn

AXN, http://liveSmart.RobYang.dpdns.org:8278/?id=axn_twn
CINEMAX, http://liveSmart.RobYang.dpdns.org:8278/?id=cinemax_twn
EYE戲劇, http://liveSmart.RobYang.dpdns.org:8278/?id=eyetvxiju_twn
EYE旅遊, http://liveSmart.RobYang.dpdns.org:8278/?id=eyetvtravel_twn
HBO, http://liveSmart.RobYang.dpdns.org:8278/?id=hbohd_twn
HBO Family, http://liveSmart.RobYang.dpdns.org:8278/?id=fyi_twn
好萊塢電影台, http://liveSmart.RobYang.dpdns.org:8278/?id=hollywoodmovies_twn
MTV Live, http://liveSmart.RobYang.dpdns.org:8278/?id=mtvhd_twn
TLC旅遊生活, http://liveSmart.RobYang.dpdns.org:8278/?id=tlc_twn
東森新聞, http://liveSmart.RobYang.dpdns.org:8278/?id=ettvnews
TVBS HD, http://liveSmart.RobYang.dpdns.org:8278/?id=tvbs
TVBS新聞, http://liveSmart.RobYang.dpdns.org:8278/?id=tvbs_n
TVBS歡樂台, http://liveSmart.RobYang.dpdns.org:8278/?id=tvbshuanle_twn
三立台灣台, http://liveSmart.RobYang.dpdns.org:8278/?id=sanlitaiwan
三立戲劇台, http://liveSmart.RobYang.dpdns.org:8278/?id=sanlixiju_twn
三立綜合台, http://liveSmart.RobYang.dpdns.org:8278/?id=sanlizhonghe
中天亞洲台, http://liveSmart.RobYang.dpdns.org:8278/?id=ctiasia_twn
中天娱樂, http://liveSmart.RobYang.dpdns.org:8278/?id=ctient
中天新聞HD, http://liveSmart.RobYang.dpdns.org:8278/?id=ctinews
中天綜合, http://liveSmart.RobYang.dpdns.org:8278/?id=ctizhonghe
亞洲旅遊台, http://liveSmart.RobYang.dpdns.org:8278/?id=asiatravel_twn
亞洲美食, http://liveSmart.RobYang.dpdns.org:8278/?id=afc_twn
八大戲劇, http://liveSmart.RobYang.dpdns.org:8278/?id=badadrama
八大第一, http://liveSmart.RobYang.dpdns.org:8278/?id=badafirst
八大綜合, http://liveSmart.RobYang.dpdns.org:8278/?id=badazhonghe
公視, http://liveSmart.RobYang.dpdns.org:8278/?id=ctv_taiwan
民視, http://liveSmart.RobYang.dpdns.org:8278/?id=ftvhd_taiwan
民視第一台, http://liveSmart.RobYang.dpdns.org:8278/?id=lunghuajingdian_twn
民視台灣台, http://liveSmart.RobYang.dpdns.org:8278/?id=ftvtaiwan_twn
民視新聞, http://liveSmart.RobYang.dpdns.org:8278/?id=ftvnew_taiwan
台視, http://liveSmart.RobYang.dpdns.org:8278/?id=ttv_taiwan
台視新聞, http://liveSmart.RobYang.dpdns.org:8278/?id=ttvnews_twn
中視, http://liveSmart.RobYang.dpdns.org:8278/?id=zhongshihd_twn
中視新聞, http://liveSmart.RobYang.dpdns.org:8278/?id=zhongshinews_twn
中視經典, http://liveSmart.RobYang.dpdns.org:8278/?id=zhongshi_twn
華視, http://liveSmart.RobYang.dpdns.org:8278/?id=ctshd_twn
華藝綜合, http://liveSmart.RobYang.dpdns.org:8278/?id=weishichinese_twn
大愛一台, http://liveSmart.RobYang.dpdns.org:8278/?id=daai_twn
寰宇新聞, http://liveSmart.RobYang.dpdns.org:8278/?id=huanyuxinwen_twn
寰宇財經台, http://liveSmart.RobYang.dpdns.org:8278/?id=huanyutaiwan_twn
年代新聞, http://liveSmart.RobYang.dpdns.org:8278/?id=niandainews_twn
愛爾達影劇, http://liveSmart.RobYang.dpdns.org:8278/?id=eltayingju_twn
愛爾達體育 1, http://liveSmart.RobYang.dpdns.org:8278/?id=eltasport_twn
愛爾達體育 2, http://liveSmart.RobYang.dpdns.org:8278/?id=eltasport2_twn
愛爾達體育 3, http://liveSmart.RobYang.dpdns.org:8278/?id=eltasport3_twn
ELEVEN 1, http://liveSmart.RobYang.dpdns.org:8278/?id=golfchannel_twn
博斯網球, http://liveSmart.RobYang.dpdns.org:8278/?id=bositennis_twn
博斯運動1, http://liveSmart.RobYang.dpdns.org:8278/?id=bosisport1_twn
博斯運動2, http://liveSmart.RobYang.dpdns.org:8278/?id=bosisport2_twn
博斯高球1, http://liveSmart.RobYang.dpdns.org:8278/?id=bosigolf1_twn
博斯高球2, http://liveSmart.RobYang.dpdns.org:8278/?id=bosigolf2_twn
探索亞洲, http://liveSmart.RobYang.dpdns.org:8278/?id=discoverytwn_twn
探索動力, http://liveSmart.RobYang.dpdns.org:8278/?id=discoveryturbo_twn
國家地理, http://liveSmart.RobYang.dpdns.org:8278/?id=natgeohd_twn
野生動物, http://liveSmart.RobYang.dpdns.org:8278/?id=natgeowild_twn
動物星球, http://liveSmart.RobYang.dpdns.org:8278/?id=animalplanet_twn
時尚, http://liveSmart.RobYang.dpdns.org:8278/?id=fashiontv_twn
Discovery Asia, http://liveSmart.RobYang.dpdns.org:8278/?id=discoverytwn_twn
Discovery HD, http://liveSmart.RobYang.dpdns.org:8278/?id=discoveryhd_twn
東森戲劇, http://liveSmart.RobYang.dpdns.org:8278/?id=ettvdrama
東森洋片, http://liveSmart.RobYang.dpdns.org:8278/?id=ettvwestern
東森綜合, http://liveSmart.RobYang.dpdns.org:8278/?id=ettvzhonghe
東森財經新聞, http://liveSmart.RobYang.dpdns.org:8278/?id=ettvcaijing_twn
東森電影, http://liveSmart.RobYang.dpdns.org:8278/?id=ettvmovie
緯來日本台, http://liveSmart.RobYang.dpdns.org:8278/?id=videolandjapan
緯來體育台, http://liveSmart.RobYang.dpdns.org:8278/?id=videolandsport
美亞電影, http://liveSmart.RobYang.dpdns.org:8278/?id=meiyamovie_twn
BBC World News, http://liveSmart.RobYang.dpdns.org:8278/?id=bbcnews_twn
Bloomberg News, http://liveSmart.RobYang.dpdns.org:8278/?id=bloomberg_twn
Fox News, http://liveSmart.RobYang.dpdns.org:8278/?id=foxnews_twn
阿里郎, http://liveSmart.RobYang.dpdns.org:8278/?id=arirang_twn
CN卡通, http://liveSmart.RobYang.dpdns.org:8278/?id=momo1_twn
靖天卡通台, http://liveSmart.RobYang.dpdns.org:8278/?id=jingtiancartoon_twn
靖天國際台, http://liveSmart.RobYang.dpdns.org:8278/?id=jingtianintl_twn
非凡新聞, http://liveSmart.RobYang.dpdns.org:8278/?id=feifannews_twn
龍祥時代, http://liveSmart.RobYang.dpdns.org:8278/?id=lungxiangtime_twn
龍華偶像, http://liveSmart.RobYang.dpdns.org:8278/?id=lunghuaidol_twn
龍華戲劇, http://liveSmart.RobYang.dpdns.org:8278/?id=lunghuaxiju_twn
龍華洋片, http://liveSmart.RobYang.dpdns.org:8278/?id=lunghuawestern_twn
龍華經典, http://liveSmart.RobYang.dpdns.org:8278/?id=lunghuajingdian_twn
龍華電影, http://liveSmart.RobYang.dpdns.org:8278/?id=xingwei_movie
馬來西亞 Malaysia,#genre#
TV1, http://liveSmart.RobYang.dpdns.org:8278/?id=TV1
TV1, http://liveSmart.RobYang.dpdns.org:8278/?id=TV1_backup
TV2, http://liveSmart.RobYang.dpdns.org:8278/?id=TV2
TV3, http://liveSmart.RobYang.dpdns.org:8278/?id=TV3
TV3, http://liveSmart.RobYang.dpdns.org:8278/?id=tv3_twn
NTV7, http://liveSmart.RobYang.dpdns.org:8278/?id=NTV7
TV8, http://liveSmart.RobYang.dpdns.org:8278/?id=TV8
TV9, http://liveSmart.RobYang.dpdns.org:8278/?id=TV9
Warna, http://liveSmart.RobYang.dpdns.org:8278/?id=Warna-O
Warna, http://liveSmart.RobYang.dpdns.org:8278/?id=Warna
Ria, http://liveSmart.RobYang.dpdns.org:8278/?id=Ria-0
Ria, http://liveSmart.RobYang.dpdns.org:8278/?id=Ria49
Ria-3, http://liveSmart.RobYang.dpdns.org:8278/?id=Ria_quanjia
Al-Hijrah, http://liveSmart.RobYang.dpdns.org:8278/?id=Alhijrah
Al-Hijrah, http://liveSmart.RobYang.dpdns.org:8278/?id=Alhijrah_backup
Awani, http://liveSmart.RobYang.dpdns.org:8278/?id=Awani
Bernama, http://liveSmart.RobYang.dpdns.org:8278/?id=Bernama
Prima, http://liveSmart.RobYang.dpdns.org:8278/?id=Prima-0
Prima, http://liveSmart.RobYang.dpdns.org:8278/?id=Prima49
Ceria, http://liveSmart.RobYang.dpdns.org:8278/?id=Ceria
Astro MTV, http://liveSmart.RobYang.dpdns.org:8278/?id=AstroMTV
Mecca Live HD, http://liveSmart.RobYang.dpdns.org:8278/?id=quran_mido
Madinah HD, http://liveSmart.RobYang.dpdns.org:8278/?id=sunnah_mido
Oasis, http://liveSmart.RobYang.dpdns.org:8278/?id=Oasis
HBO HD, http://liveSmart.RobYang.dpdns.org:8278/?id=Hbo
HBO Signature, http://liveSmart.RobYang.dpdns.org:8278/?id=Hbosignature
HBO Hits, http://liveSmart.RobYang.dpdns.org:8278/?id=Hbohits
NatGeo Wild HD, http://liveSmart.RobYang.dpdns.org:8278/?id=Natgeowild
Cartoon Network, http://liveSmart.RobYang.dpdns.org:8278/?id=Cn
Nickelodeon, http://liveSmart.RobYang.dpdns.org:8278/?id=Nickelodeon
Nick Jr, http://liveSmart.RobYang.dpdns.org:8278/?id=Nickjr
Citra, http://liveSmart.RobYang.dpdns.org:8278/?id=Citra
Sensasi, http://liveSmart.RobYang.dpdns.org:8278/?id=Sensasi
Aura, http://liveSmart.RobYang.dpdns.org:8278/?id=Aura
Rania, http://liveSmart.RobYang.dpdns.org:8278/?id=Rania
Boo, http://liveSmart.RobYang.dpdns.org:8278/?id=Boo
Awesome TV, http://liveSmart.RobYang.dpdns.org:8278/?id=Awesome_mega
Sony HD, http://liveSmart.RobYang.dpdns.org:8278/?id=SetOne
KBS World, http://liveSmart.RobYang.dpdns.org:8278/?id=KBS
TvN, http://liveSmart.RobYang.dpdns.org:8278/?id=TVN
Astro Premier, http://liveSmart.RobYang.dpdns.org:8278/?id=Astropremier
AEC, http://liveSmart.RobYang.dpdns.org:8278/?id=AEC
華麗台 HD, http://liveSmart.RobYang.dpdns.org:8278/?id=Wlt
歡喜台 HD, http://liveSmart.RobYang.dpdns.org:8278/?id=Huahee
歡喜台, http://liveSmart.RobYang.dpdns.org:8278/?id=Huahee_backup
Astro QJ, http://liveSmart.RobYang.dpdns.org:8278/?id=Quanjia
TVB Jade, http://liveSmart.RobYang.dpdns.org:8278/?id=Tvbjade
TVBS Asia, http://liveSmart.RobYang.dpdns.org:8278/?id=Tvbasia
TVB Entertainment, http://liveSmart.RobYang.dpdns.org:8278/?id=Tvbentertainment
TVB Classic, http://liveSmart.RobYang.dpdns.org:8278/?id=Tvbclassic
AOD, http://liveSmart.RobYang.dpdns.org:8278/?id=AodHD
One, http://liveSmart.RobYang.dpdns.org:8278/?id=One_mega
TVB 星河台, http://liveSmart.RobYang.dpdns.org:8278/?id=Xinhe
愛奇藝, http://liveSmart.RobYang.dpdns.org:8278/?id=Qiyi
Animal Planet (Eng), http://liveSmart.RobYang.dpdns.org:8278/?id=AnimalPlanet
tvN Movie, http://liveSmart.RobYang.dpdns.org:8278/?id=Tvnmovie
CNN, http://liveSmart.RobYang.dpdns.org:8278/?id=cnn_twn
Celestial Classic, http://liveSmart.RobYang.dpdns.org:8278/?id=Celestial2
CNBC, http://liveSmart.RobYang.dpdns.org:8278/?id=cnbc_twn
RTM Sports HD, http://liveSmart.RobYang.dpdns.org:8278/?id=Rtmsport
TLC, http://liveSmart.RobYang.dpdns.org:8278/?id=Tlc
CNA, http://liveSmart.RobYang.dpdns.org:8278/?id=cna
AFC 亞洲旅遊台, http://liveSmart.RobYang.dpdns.org:8278/?id=asiatravel_twn
