LITV源,#genre#
中天新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv009
tvbs新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv072
非凡新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv010
闽镜新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv075
华视新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv052
中视新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv074
寰宇闽南台,https://litv.zapi.us.kg/?id=litv-longturn15
中视闽南台,https://litv.zapi.us.kg/?id=4gtv-4gtv040
华视闽南台,https://litv.zapi.us.kg/?id=4gtv-4gtv041
台视闽南台,https://litv.zapi.us.kg/?id=4gtv-4gtv066
民视闽南台,https://litv.zapi.us.kg/?id=4gtv-4gtv002
民视第一台,https://litv.zapi.us.kg/?id=4gtv-4gtv003
民视综艺台,https://litv.zapi.us.kg/?id=4gtv-4gtv004
民视台湾台,https://litv.zapi.us.kg/?id=4gtv-4gtv001
民视台湾台,https://litv.zapi.us.kg/?id=4gtv-4gtv156
中视菁采台,https://litv.zapi.us.kg/?id=4gtv-4gtv064
tvbs精采台,https://litv.zapi.us.kg/?id=4gtv-4gtv067
tvbs欢乐台,https://litv.zapi.us.kg/?id=4gtv-4gtv068
tvbs闽南台,https://litv.zapi.us.kg/?id=4gtv-4gtv073
八大精彩台,https://litv.zapi.us.kg/?id=4gtv-4gtv034
龙华卡通台,https://litv.zapi.us.kg/?id=litv-longturn01
龙华电影台,https://litv.zapi.us.kg/?id=litv-longturn03
龙华日韩台,https://litv.zapi.us.kg/?id=litv-longturn11
龙华偶像台,https://litv.zapi.us.kg/?id=litv-longturn12
龙华经典台,https://litv.zapi.us.kg/?id=litv-longturn21
龙华戏剧台,https://litv.zapi.us.kg/?id=litv-longturn18
爱尔达娱乐,https://litv.zapi.us.kg/?id=4gtv-4gtv070
台湾戏剧台,https://litv.zapi.us.kg/?id=litv-longturn22
靖洋戏剧台,https://litv.zapi.us.kg/?id=4gtv-4gtv045
靖洋卡通台,https://litv.zapi.us.kg/?id=4gtv-4gtv057
靖天戏剧台,https://litv.zapi.us.kg/?id=4gtv-4gtv058
靖天卡通台,https://litv.zapi.us.kg/?id=4gtv-4gtv044
靖天资讯台,https://litv.zapi.us.kg/?id=4gtv-4gtv065
靖天映画台,https://litv.zapi.us.kg/?id=4gtv-4gtv055
靖天综合台,https://litv.zapi.us.kg/?id=4gtv-4gtv046
靖天日本台,https://litv.zapi.us.kg/?id=4gtv-4gtv047
靖天电影台,https://litv.zapi.us.kg/?id=4gtv-4gtv061
靖天育乐台,https://litv.zapi.us.kg/?id=4gtv-4gtv062
靖天国际台,https://litv.zapi.us.kg/?id=4gtv-4gtv063
采昌影剧台,https://litv.zapi.us.kg/?id=4gtv-4gtv049
公视戏剧台,https://litv.zapi.us.kg/?id=4gtv-4gtv042
台视财经台,https://litv.zapi.us.kg/?id=4gtv-4gtv056
客家电视台,https://litv.zapi.us.kg/?id=4gtv-4gtv043
非凡商业台,https://litv.zapi.us.kg/?id=4gtv-4gtv048
古典音乐台,https://litv.zapi.us.kg/?id=4gtv-4gtv059
好消息壹台,https://litv.zapi.us.kg/?id=litv-ftv16
好消息贰台,https://litv.zapi.us.kg/?id=litv-ftv17
博斯魅力台,https://litv.zapi.us.kg/?id=litv-longturn04
博斯高球壹,https://litv.zapi.us.kg/?id=litv-longturn05
博斯高球贰,https://litv.zapi.us.kg/?id=litv-longturn06
博斯运动壹,https://litv.zapi.us.kg/?id=litv-longturn07
博斯运动贰,https://litv.zapi.us.kg/?id=litv-longturn08
博斯网球台,https://litv.zapi.us.kg/?id=litv-longturn09
博斯无限壹,https://litv.zapi.us.kg/?id=litv-longturn10
博斯无限贰,https://litv.zapi.us.kg/?id=litv-longturn13
亚洲旅游台,https://litv.zapi.us.kg/?id=litv-longturn17
生活英语台,https://litv.zapi.us.kg/?id=litv-longturn20
影迷數位台,https://litv.zapi.us.kg/?id=4gtv-4gtv011
華仁紀實台,https://litv.zapi.us.kg/?id=4gtv-4gtv013
达文西频道,https://litv.zapi.us.kg/?id=4gtv-4gtv018
amc电影台,https://litv.zapi.us.kg/?id=4gtv-4gtv017
CAT电影台,https://litv.zapi.us.kg/?id=4gtv-4gtv076
TRA体育台,https://litv.zapi.us.kg/?id=4gtv-4gtv077
Smart频道,https://litv.zapi.us.kg/?id=litv-longturn19
GLo-Bet台,https://litv.zapi.us.kg/?id=4gtv-4gtv016
Ginx-TV台,https://litv.zapi.us.kg/?id=4gtv-4gtv053
TVBS,http://154.216.191.38:8500/live.m3u8?c=1
东森新闻,http://37.27.111.214:8080/live/20/hls.m3u8
寰宇新闻台湾,http://37.27.111.214:8080/live/63/hls.m3u8
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
三立综合台,http://37.27.111.214:8080/live/31/hls.m3u8
中视,http://37.27.111.214:8080/live/7/hls.m3u8
华视新闻,http://37.27.111.214:8080/live/8/hls.m3u8
亚洲旅游台,http://37.27.111.214:8080/live/10/hls.m3u8
民视台湾,http://37.27.111.214:8080/live/5/hls.m3u8
HITS,http://37.27.111.214:8080/live/28/hls.m3u8
民视第一,http://37.27.111.214:8080/live/4/hls.m3u8
博斯无限,http://37.27.111.214:8080/live/15/hls.m3u8
东森新闻,http://37.27.111.214:8080/live/20/hls.m3u8
国会频道2,http://37.27.111.214:8080/live/104/hls.m3u8
镜新闻,http://37.27.111.214:8080/live/62/hls.m3u8
寰宇新闻台湾,http://37.27.111.214:8080/live/63/hls.m3u8
中视经典,http://37.27.111.214:8080/live/47/hls.m3u8
