js=https://files.catbox.moe/4dqdzg.js
臺灣 Taiwan,#genre#
AXN, http://?id=axn_twn
CINEMAX, http://?id=cinemax_twn
EYE戲劇, http://?id=eyetvxiju_twn
EYE旅遊, http://?id=eyetvtravel_twn
HBO, http://?id=hbohd_twn
HBO Family, http://?id=fyi_twn
好萊塢電影台, http://?id=hollywoodmovies_twn
MTV Live, http://?id=mtvhd_twn
TLC旅遊生活, http://?id=tlc_twn
東森新聞, http://?id=ettvnews
TVBS HD, http://?id=tvbs
TVBS新聞台, http://?id=tvbs_n
TVBS歡樂台, http://?id=tvbshuanle_twn
三立台灣台, http://?id=sanlitaiwan
三立戲劇台, http://?id=sanlixiju_twn
三立綜合台, http://?id=sanlizhonghe
中天亞洲台, http://?id=ctiasia_twn
中天娱樂, http://?id=ctient
中天新聞HD, http://?id=ctinews
中天綜合, http://?id=ctizhonghe
亞洲旅遊台, http://?id=asiatravel_twn
亞洲美食, http://?id=afc_twn
八大戲劇, http://?id=badadrama
八大第一, http://?id=badafirst
八大綜合, http://?id=badazhonghe
公視, http://?id=ctv_taiwan
民視, http://?id=ftvhd_taiwan
民視第一台, http://?id=lunghuajingdian_twn
民視台灣台, http://?id=ftvtaiwan_twn
民視新聞台, http://?id=ftvnew_taiwan
台視, http://?id=ttv_taiwan
台視新聞台, http://?id=ttvnews_twn
中視, http://?id=zhongshihd_twn
中視新聞台, http://?id=zhongshinews_twn
中視經典, http://?id=zhongshi_twn
華視, http://?id=ctshd_twn
華藝綜合, http://?id=weishichinese_twn
大愛一台, http://?id=daai_twn
寰宇新聞台, http://?id=huanyuxinwen_twn
寰宇財經台, http://?id=huanyutaiwan_twn
年代新聞台, http://?id=niandainews_twn
愛爾達影劇, http://?id=eltayingju_twn
愛爾達體育 1, http://?id=eltasport_twn
愛爾達體育 2, http://?id=eltasport2_twn
愛爾達體育 3, http://?id=eltasport3_twn
ELEVEN 1, http://?id=golfchannel_twn
博斯網球, http://?id=bositennis_twn
博斯運動1, http://?id=bosisport1_twn
博斯運動2, http://?id=bosisport2_twn
博斯高球1, http://?id=bosigolf1_twn
博斯高球2, http://?id=bosigolf2_twn
探索亞洲, http://?id=discoverytwn_twn
探索動力, http://?id=discoveryturbo_twn
國家地理, http://?id=natgeohd_twn
野生動物, http://?id=natgeowild_twn
動物星球, http://?id=animalplanet_twn
時尚, http://?id=fashiontv_twn
Discovery Asia, http://?id=discoverytwn_twn
Discovery HD, http://?id=discoveryhd_twn
東森戲劇, http://?id=ettvdrama
東森洋片, http://?id=ettvwestern
東森綜合, http://?id=ettvzhonghe
東森財經新聞, http://?id=ettvcaijing_twn
東森電影, http://?id=ettvmovie
緯來日本台, http://?id=videolandjapan
緯來體育台, http://?id=videolandsport
美亞電影, http://?id=meiyamovie_twn
BBC World News, http://?id=bbcnews_twn
Bloomberg News, http://?id=bloomberg_twn
Fox News, http://?id=foxnews_twn
阿里郎, http://?id=arirang_twn
CN卡通, http://?id=momo1_twn
靖天卡通台, http://?id=jingtiancartoon_twn
靖天國際台, http://?id=jingtianintl_twn
非凡新聞台, http://?id=feifannews_twn
龍祥時代, http://?id=lungxiangtime_twn
