 ,#genre#
 ,http://a.b/c.m3u8
 ,#genre#
 ,http://a.b/c.m3u8
--,#genre#
--,url6





 👇👇測試區👇👇,#genre#
 ,http://a.b/c.m3u8




極速 | 港台,#genre#

翡翠台,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
華麗翡翠,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbjade
星河,http://cdn9.1689.us.kg/smt1.1.php?id=Xinhe
千禧經典,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbclassic
ASTRO AOD,http://cdn9.1689.us.kg/smt1.1.php?id=Aodhd
TVB plus,http://cdn5.1678520.xyz/live/?id=tvbp
TVB plus備,http://117.27.251.40/libof.kesx.top/live/5658kwkojtz.m3u8
popc,http://gweid.serv00.net/tui.php?id=popc
tvbplus,http://gweid.serv00.net/tui.php?id=tvbplus
翡翠台備,http://gweid.serv00.net/tui.php?id=fct
viutv,http://gweid.serv00.net/tui.php?id=viutv
無線 新聞,http://live.cooltv.top/tv/tvb.php?id=2
鳳凰中文,http://122.224.232.226:8888/udp/233.50.200.191:5140
鳳凰資訊,http://122.224.232.226:8888/udp/233.50.200.192:5140
香港C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/index.m3u8
香港32台,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
TVB星河3,https://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
功夫,https://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
娛樂新聞,https://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVBJ1,https://bcovlive-a.akamaihd.net/e360e3f9895c4fae99b133ec8dc20f01/us-west-2/5324042807001/4a3bca5b047b4564b18bb12dfa26ba62/playlist_ssaiM.m3u8
中視,rtmp://f13h.mine.nu/sat/tv091
華視,rtmp://f13h.mine.nu/sat/tv111
台視,rtmp://f13h.mine.nu/sat/tv071
